0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.088383,-0.005548,0.101428,0.137995,-0.097604,0.008797,-0.020960,0.058106,0.097832,-0.055385,-0.064208,-0.327358,-0.137011,0.034435,0.096660,-0.037856,-0.018138,0.202284,-0.047132,0.072758,-0.015540,0.155180,-0.113099,0.040145,0.058694,-0.095119,0.047456,0.024786,0.060196,-0.038654,0.096611,-0.029889,-0.001883,-0.037495,-0.111528,0.208437,-0.098819,0.004964,0.117708,-0.012050,-0.041426,0.022633,0.305610,-0.044321,0.018023,0.040347,-0.121784,0.063710,-0.096677,0.176313,0.178942,-0.044279,0.146499,0.030848,0.116312,-0.012948,-0.032472,0.094395,0.086851,0.012452,-0.005178,0.031137,0.051531,0.071914
0.130883,0.010165,-0.050578,0.113197,-0.025362,0.021920,0.122621,0.333587,-0.015827,0.137942,0.040304,-0.085911,-0.144222,-0.075026,0.087721,0.053014,0.000891,-0.099958,0.235866,0.222850,0.060735,-0.021008,0.036898,0.140034,0.113086,0.045730,-0.052867,0.146120,0.111083,-0.046394,-0.031634,-0.004269,-0.097380,-0.161875,-0.177953,0.071605,-0.167127,0.139389,0.036976,0.023246,-0.109742,0.106554,0.186036,0.043577,0.091497,0.227092,-0.095715,0.086420,0.082812,-0.077126,-0.017068,0.136368,0.038240,0.154281,0.020383,-0.133101,0.084822,0.027836,-0.211229,0.050208,-0.010905,0.049829,0.016209,-0.090410
0.142033,0.217163,-0.074571,-0.099241,0.075327,-0.184396,0.043949,0.030920,-0.005894,-0.047182,0.080277,-0.123230,0.003602,0.060281,0.124910,-0.047439,-0.009666,0.017331,0.035924,-0.015885,0.029988,-0.024164,-0.098007,0.085222,-0.021537,-0.102506,0.041293,0.082746,-0.132774,-0.099217,-0.129462,0.044186,-0.020376,0.008812,0.004317,0.206224,0.057903,-0.073603,-0.018492,0.094971,-0.234872,-0.178179,-0.028120,0.073092,0.037675,0.188784,-0.133814,-0.063938,-0.027882,-0.025474,-0.073499,-0.070822,-0.020057,0.122173,0.023544,0.034722,-0.026736,0.127822,0.049240,0.160723,0.045044,-0.002611,-0.093984,0.021593
0.040397,-0.071196,0.039008,-0.067837,0.012013,-0.027134,-0.029008,0.069177,-0.125175,0.053490,0.030238,0.028964,-0.184074,-0.103793,-0.001935,0.119736,-0.010287,0.037908,0.018960,-0.014615,0.122681,0.092117,0.053528,0.165437,-0.072854,0.087234,0.032016,-0.067395,0.070381,0.104707,0.000504,-0.212441,-0.074749,-0.074785,0.135337,0.029346,-0.202246,-0.034667,0.156816,-0.007964,-0.043780,-0.153521,-0.012651,-0.180061,-0.118168,-0.003740,-0.022869,0.026906,0.079073,-0.014641,0.029159,-0.007532,-0.115009,0.063602,0.055228,-0.153350,0.128774,-0.018073,-0.016832,-0.014852,0.214200,0.085292,-0.059998,-0.079210
0.180239,-0.143140,0.059065,0.012426,0.047845,0.082694,0.085699,-0.112579,-0.136099,-0.095762,-0.088618,0.042774,-0.079753,-0.214959,0.096877,0.006146,-0.178660,0.138330,0.102074,-0.149222,0.090781,0.060988,-0.051112,-0.184833,-0.041103,-0.077491,-0.150263,-0.006553,0.108053,0.101575,0.068578,0.069955,-0.116400,-0.094564,-0.047166,0.184547,0.100776,-0.150228,0.038307,-0.008352,-0.121013,-0.060954,0.070173,0.007965,0.076903,-0.100485,-0.036800,0.171694,-0.031334,-0.000456,-0.085046,0.087706,-0.261915,0.047517,-0.117723,-0.050133,0.122648,0.055676,-0.043693,0.038382,-0.280134,-0.095396,0.067862,-0.111328
-0.183635,0.096667,-0.040010,0.036770,-0.027344,-0.089642,0.006885,-0.010588,-0.019237,-0.117695,-0.040381,0.143003,-0.134081,-0.125996,0.137136,0.100605,-0.059178,-0.159228,0.040963,0.117189,-0.001878,-0.087772,-0.012200,0.000946,0.021782,-0.121050,-0.047121,0.014611,0.061708,-0.083524,0.083710,0.019053,-0.137515,0.017276,-0.003723,-0.063009,-0.017311,-0.014025,-0.106631,0.015292,0.181182,-0.050769,-0.115671,-0.095691,0.215622,0.078878,-0.016289,0.013072,-0.136853,-0.008984,0.075661,-0.240202,0.033817,-0.079231,-0.232264,0.048066,-0.140074,0.224379,0.006795,0.198715,-0.068872,0.060487,0.024368,-0.015644
-0.077261,-0.036340,0.056964,0.008507,-0.154531,0.060457,-0.026513,-0.021642,-0.020054,-0.135360,0.045524,0.068849,0.028060,0.045666,0.048770,0.098830,-0.021888,-0.179642,-0.021563,-0.176872,-0.005588,0.095064,0.037943,-0.193414,0.014711,0.237864,-0.109435,-0.083948,0.241353,-0.117579,-0.009317,0.040081,-0.040472,0.059221,-0.035935,-0.163609,-0.017220,-0.019641,0.184128,-0.108220,0.111596,0.204158,-0.021271,0.072531,0.045359,0.030769,0.022962,0.076541,-0.038488,-0.015619,0.085816,0.054856,0.029295,0.064109,0.162872,-0.034623,0.120356,0.134046,0.097318,-0.129987,0.132255,0.195441,-0.130420,0.063356
-0.056031,0.005858,-0.038011,-0.153527,0.009235,-0.071411,-0.274203,-0.157129,0.097022,-0.091392,-0.019283,0.154110,0.120716,-0.105914,-0.051016,0.065897,0.093295,0.073382,0.083854,-0.017068,0.075607,0.015832,0.067791,0.031150,-0.240201,-0.059181,-0.107100,-0.032971,0.035642,-0.070637,0.176011,0.012154,0.017369,-0.009324,-0.109032,0.021997,-0.022205,-0.097475,-0.139568,0.139998,0.127608,0.019368,0.054298,0.096450,0.090255,-0.064800,0.077690,-0.038091,0.076877,-0.077808,0.021277,-0.042924,-0.019760,-0.035404,0.045268,-0.218622,-0.045701,0.064096,0.000954,-0.092221,-0.133195,-0.111865,-0.059767,-0.055699
-0.022761,-0.038432,-0.035200,-0.010448,0.185194,0.163662,-0.051983,0.006538,0.037234,-0.020152,0.021110,-0.018728,0.117652,0.078935,-0.071416,-0.077968,0.094959,0.049670,-0.095562,-0.039639,-0.140792,0.016343,0.002295,-0.111380,-0.115280,0.101298,-0.107843,-0.088095,-0.088881,-0.044492,-0.023101,0.035028,0.021228,0.077884,0.024830,0.019806,-0.078196,0.018911,-0.021876,0.014301,0.086361,-0.015448,-0.118498,0.032910,0.031213,0.012399,0.161586,0.100226,0.234757,-0.033404,0.060485,-0.170991,-0.046467,0.106661,-0.168364,-0.031915,0.110151,-0.102883,-0.027485,-0.062945,0.190167,-0.137055,-0.120924,0.028781
0.035144,0.051756,-0.028173,-0.123036,0.034877,-0.017056,-0.017809,-0.141321,0.021869,0.134522,0.070895,-0.068364,-0.111403,-0.092045,0.131417,0.117094,0.062885,0.030291,-0.002675,-0.029388,0.049361,-0.021473,-0.029933,0.016301,0.063404,-0.091594,-0.019742,0.003774,-0.083945,0.118806,0.192212,0.004825,-0.041795,0.153403,-0.012384,0.040218,-0.042276,-0.020926,0.132614,0.110931,-0.012381,0.002816,0.073912,0.098509,0.117018,0.097211,0.099430,0.072923,-0.078332,-0.049664,0.029326,-0.014320,-0.062356,-0.156190,0.007951,0.065673,-0.023896,0.046916,-0.047381,0.135838,-0.055001,-0.079338,0.052280,-0.009361
